数计至型体育部hold住全场 
中山大学数计学生会 
数计院志愿者服务队 
中大数计院团委 
数计心理 
中山大学数计院研究生会 
中大笃行工作室 
sysu10应数 
中大数计11六班 
中大数计10科A 
中大数计11级4班 
中大数计11级5班 
2012中大数计院五班 
中大12级数计三班 
中大数计12级6班 
10统计_美妙微博 
